,Unnamed: 0,Unnamed: 1,Average,log value,Unnamed: 4,Unnamed: 5,Unnamed: 6,Average.1,Unnamed: 8,log value.1,Unnamed: 10,Unnamed: 11,Average.2,log value.2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Average.3,log value.3,Unnamed: 19,Unnamed: 20,Unnamed: 21,Average.4,log value.4,Unnamed: 24
count,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,30.0,23.0,19.0,30.0,30.0,24.0
mean,110.89655172413794,115.76666666666667,113.58333333333333,1135833333.3333333,9.016510990043068,124.8,130.4,127.6,1276000000.0,9.068533548585823,113.36666666666666,104.36666666666666,108.86666666666666,1088666666.6666667,9.013955070845377,65.24137931034483,62.62068965517241,63.8,638000000.0,8.753020640411926,50.91304347826087,44.8421052631579,37.3,373000000.0,8.5271247046376
std,53.77356282703705,66.5218052574691,46.239459811703696,462394598.1170369,0.19581282411691112,60.199324088312274,74.62670318047157,53.118507716886825,531185077.1688683,0.18834696713426133,44.034064661063404,53.31525196371131,37.39881367594187,373988136.7594186,0.14284488749798005,31.661891438417385,46.12979653194687,33.47067682160837,334706768.2160837,0.21574104473425385,35.72484880491991,37.10385298635101,35.26270864085252,352627086.4085252,0.4135055350993783
min,25.0,19.0,35.5,355000000.0,8.550228353055093,31.0,25.0,35.0,350000000.0,8.544068044350276,1.0,35.0,42.5,425000000.0,8.628388930050312,24.0,10.0,20.0,200000000.0,8.301029995663981,2.0,1.0,0.0,0.0,7.301029995663981
25%,68.0,72.0,85.125,851250000.0,8.930055722967763,74.0,65.0,87.0,870000000.0,8.939497898273068,90.25,67.0,86.875,868750000.0,8.938829597261654,40.0,32.0,41.625,416250000.0,8.619348395133544,28.5,17.5,7.75,77500000.0,8.394339625957015
50%,103.0,97.5,113.25,1132500000.0,9.05395248150741,111.5,111.0,114.5,1145000000.0,9.058788922878652,122.5,92.5,96.25,962500000.0,8.983282042048655,61.0,48.0,58.75,587500000.0,8.769003938862163,42.0,32.0,29.75,297500000.0,8.531290992114082
75%,141.0,154.25,145.25,1452500000.0,9.162098651204593,172.25,185.0,153.375,1533750000.0,9.185136367118222,135.0,119.5,122.875,1228750000.0,9.089263991096551,83.0,78.0,75.0,750000000.0,8.87503204849294,54.5,68.0,52.25,522500000.0,8.812066900883663
max,231.0,283.0,233.5,2335000000.0,9.368286884902131,234.0,293.0,249.5,2495000000.0,9.397070549959409,193.0,206.0,198.0,1980000000.0,9.296665190261532,144.0,203.0,173.5,1735000000.0,9.239299479126892,123.0,132.0,106.0,1060000000.0,9.02530586526477
